national_number,gen_numeric,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,Final evolution,is_final_evo,gigantamax,mega_evolution,mega_evolution_alt,description
422,4,IV,Shellos,Karanakushi,water,,Sea Slug Pokémon,50.2,49.8,0.3,6.3,190,5120,76,48,48,57,62,34,325,Sticky Hold,Storm Drain,,Sand Force,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Shellos,Level ,Gastrodon,,,,,Gastrodon,FALSE,,,,"This Pokémon’s habitat shapes its physique. According to some theories, life in warm ocean waters causes this variation to develop."
423,4,IV,Gastrodon,Tritodon,water,ground,Sea Slug Pokémon,50.2,49.8,0.9,29.9,75,5120,111,83,68,92,82,39,475,Sticky Hold,Storm Drain,,Sand Force,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Shellos,Level ,Gastrodon,,,,,Gastrodon,TRUE,,,,"Its search for food sometimes leads it onto land, where it leaves behind a sticky trail of slime as it passes through."
424,4,IV,Ambipom,Eteboth,normal,,Long Tail Pokémon,50,50,1.2,20.3,45,5120,75,100,66,60,66,115,482,Technician,Pickup,,Skill Link,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Aipom,Level up while knowing  Double Hit,Ambipom,,,,,Ambipom,TRUE,,,,"In their search for comfortable trees, they get into territorial disputes with groups of Passimian. They win about half the time."
425,4,IV,Drifloon,Fuwante,ghost,flying,Balloon Pokémon,50.2,49.8,0.4,1.2,125,7680,90,50,34,60,44,70,348,Aftermath,Unburden,,Flare Boost,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,1,0,0,0,Drifloon,Level ,Drifblim,,,,,Drifblim,FALSE,,,,"Perhaps seeking company, it approaches children. However, it often quickly runs away again when the children play too roughly with it."
426,4,IV,Drifblim,Fuwaride,ghost,flying,Blimp Pokémon,50.2,49.8,1.2,15,60,7680,150,80,44,90,54,80,498,Aftermath,Unburden,,Flare Boost,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,1,0,0,0,Drifloon,Level ,Drifblim,,,,,Drifblim,TRUE,,,,"Some say this Pokémon is a collection of souls burdened with regrets, silently drifting through the dusk."
427,4,IV,Buneary,Mimirol,normal,,Rabbit Pokémon,50.2,49.8,0.4,5.5,190,5120,55,66,44,44,56,85,350,Run Away,Klutz,,Limber,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Buneary,Level Up with Happiness Value at 220,Lopunny,,,,,Lopunny,FALSE,,,,"If both of Buneary’s ears are rolled up, something is wrong with its body or mind. It’s a sure sign the Pokémon is in need of care."
428,4,IV,Lopunny,Mimilop,normal,,Rabbit Pokémon,50.2,49.8,1.2,33.3,60,5120,65,76,84,54,96,105,480,Cute Charm,Klutz,,Limber,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Buneary,Level Up with Happiness Value at 220,Lopunny,,,,,Lopunny,TRUE,,Mega Lopunny,,"Lopunny is constantly monitoring its surroundings. If danger approaches, this Pokémon responds with superdestructive kicks."
429,4,IV,Mismagius,Mumargi,ghost,,Magical Pokémon,50,50,0.9,4.4,45,6400,60,60,60,105,105,105,495,Levitate,,,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Misdreavus,Use Dusk Stone,Mismagius,,,,,Mismagius,TRUE,,,,"Feared for its wrath and the curses it spreads, this Pokémon will also, on a whim, cast spells that help people."
430,4,IV,Honchkrow,Dongkarasu,dark,flying,Big Boss Pokémon,50,50,0.9,27.3,30,5120,100,125,52,105,52,71,505,Insomnia,Super Luck,,Moxie,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,0,0,0,Murkrow,Use Dusk Stone,Honchkrow,,,,,Honchkrow,TRUE,,,,It will absolutely not forgive failure from or betrayal by its goons. It has no choice in this if it wants to maintain the order of the flock.
431,4,IV,Glameow,Nyarmar,normal,,Catty Pokémon,24.6,75.4,0.5,3.9,190,5120,49,55,42,42,37,85,310,Limber,Own Tempo,,Keen Eye,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Glameow,Level ,Purugly,,,,,Purugly,FALSE,,,,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.
432,4,IV,Purugly,Bunyatto,normal,,Tiger Cat Pokémon,24.6,75.4,1,43.8,75,5120,71,82,64,64,59,112,452,Thick Fat,Own Tempo,,Defiant,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Glameow,Level ,Purugly,,,,,Purugly,TRUE,,,,It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.
433,4,IV,Chingling,Lisyan,psychic,,Bell Pokémon,50,50,0.2,0.6,120,6400,45,30,50,65,50,45,285,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Chingling,Level Up with Happiness Value at 220 During the Night,Chimecho,,,,,Chimecho,FALSE,,,,"Each time it hops, it makes a ringing sound. It deafens foes by emitting high-frequency cries."
434,4,IV,Stunky,Skunpuu,poison,dark,Skunk Pokémon,50.2,49.8,0.4,19.2,225,5120,63,63,47,41,41,74,329,Stench,Aftermath,,Keen Eye,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0,0,0,Stunky,Level ,Skuntank,,,,,Skuntank,FALSE,,,,"From its rear, it sprays a foul-smelling liquid at opponents. It aims for their faces, and it can hit them from over 16 feet away."
435,4,IV,Skuntank,Skutank,poison,dark,Skunk Pokémon,50.2,49.8,1,38,60,5120,103,93,67,71,61,84,479,Stench,Aftermath,,Keen Eye,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0,0,0,Stunky,Level ,Skuntank,,,,,Skuntank,TRUE,,,,"In its belly, it reserves stinky fluid that it shoots from its tail during battle. As this Pokémon’s diet varies, so does the stench of its fluid."
436,4,IV,Bronzor,Dohmirror,steel,psychic,Bronze Pokémon,,,0.5,60.5,255,5120,57,24,86,24,86,23,300,Levitate,Heatproof,,Heavy Metal,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,0,0,0,Bronzor,Level ,Bronzong,,,,,Bronzong,FALSE,,,,"It appears in ancient ruins. The pattern on its body doesn’t come from any culture in the Galar region, so it remains shrouded in mystery."
437,4,IV,Bronzong,Dohtakun,steel,psychic,Bronze Bell Pokémon,,,1.3,187,90,5120,67,89,116,79,116,33,500,Levitate,Heatproof,,Heavy Metal,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5,0,0,0,Bronzor,Level ,Bronzong,,,,,Bronzong,TRUE,,,,"Some believe it to be a deity that summons rain clouds. When angered, it lets out a warning cry that rings out like the tolling of a bell."
438,4,IV,Bonsly,Usohachi,rock,,Bonsai Pokémon,50.2,49.8,0.5,15,255,5120,50,80,95,10,45,10,290,Sturdy,Rock Head,,Rattled,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,0,0,0,Bonsly,Level up while knowing  Mimic,Sudowoodo,,,,,Sudowoodo,FALSE,,,,"It expels both sweat and tears from its eyes. The sweat is a little salty, while the tears have a slight bitterness."
439,4,IV,Mime Jr.,Manene,psychic,fairy,Mime Pokémon,50.2,49.8,0.6,13,145,6400,20,25,45,70,90,60,310,Soundproof,Filter,,Technician,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,0,0,0,Mime Jr.,Level up while knowing  Mimic,Mr. Mime,,,,,Mr. Mime,FALSE,,,,"It mimics everyone it sees, but it puts extra effort into copying the graceful dance steps of Mr. Rime as practice."
440,4,IV,Happiny,Pinpuku,normal,,Playhouse Pokémon,0,100,0.6,24.4,130,10240,100,5,5,15,65,30,220,Natural Cure,Serene Grace,,Friend Guard,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Happiny,Level up during day while holding Oval Stone,Chansey,Level Up with Happiness Value at 220,Blissey,,,Blissey,FALSE,,,,"Mimicking Chansey, Happiny will place an egg- shaped stone in its belly pouch. Happiny will treasure this stone."
441,4,IV,Chatot,Perap,normal,flying,Music Note Pokémon,50,50,0.5,1.9,30,5120,76,65,45,92,42,91,411,Keen Eye,Tangled Feet,,Big Pecks,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Chatot,,,,,,,Chatot,TRUE,,,,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.
442,4,IV,Spiritomb,Mikaruge,ghost,dark,Forbidden Pokémon,50.2,49.8,1,108,100,7680,50,92,108,92,108,35,485,Pressure,,,Infiltrator,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2,0,0,0,Spiritomb,,,,,,,Spiritomb,TRUE,,,,Exactly 108 spirits gathered to become this Pokémon. Apparently there are some ill-natured spirits in the mix.
443,4,IV,Gible,Fukamaru,dragon,ground,Land Shark Pokémon,50.2,49.8,0.7,20.5,45,10240,58,70,45,40,45,42,300,Sand Veil,,,Rough Skin,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,0,0,0,Gible,Level ,Gabite,Level ,Garchomp,,,Garchomp,FALSE,,,,"Gible prefers to stay in narrow holes in the sides of caves heated by geothermal energy. This way, Gible can stay warm even during a blizzard."
444,4,IV,Gabite,Gabite,dragon,ground,Cave Pokémon,50.2,49.8,1.4,56,45,10240,68,90,65,50,55,82,410,Sand Veil,,,Rough Skin,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,0,0,0,Gible,Level ,Gabite,Level ,Garchomp,,,Garchomp,FALSE,,,,This Pokémon emits ultrasonic waves from a protrusion on either side of its head to probe pitch-dark caves.
445,4,IV,Garchomp,Gaburias,dragon,ground,Mach Pokémon,50.2,49.8,1.9,95,45,10240,108,130,95,80,85,102,600,Sand Veil,,,Rough Skin,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2,0,0,0,Gible,Level ,Gabite,Level ,Garchomp,,,Garchomp,TRUE,,Mega Garchomp,,"Garchomp makes its home in volcanic mountains. It flies through the sky as fast as a jet airplane, hunting down as much prey as it can."
446,4,IV,Munchlax,Gonbe,normal,,Big Eater Pokémon,88.14,11.86,0.6,105,50,10240,135,85,40,40,85,5,390,Pickup,Thick Fat,,Gluttony,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Munchlax,Level Up with Happiness Value at 220,Snorlax,,,,,Snorlax,FALSE,,,,"Stuffing itself with vast amounts of food is its only concern. Whether the food is rotten or fresh, yummy or tasteless—it does not care."
447,4,IV,Riolu,Riolu,fighting,,Emanation Pokémon,88.14,11.86,0.7,20.2,75,6400,40,70,40,35,40,60,285,Steadfast,Inner Focus,,Prankster,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Riolu,Level Up with Happiness Value at 220 During the Day,Lucario,,,,,Lucario,FALSE,,,,"It’s exceedingly energetic, with enough stamina to keep running all through the night. Taking it for walks can be a challenging experience."
448,4,IV,Lucario,Lucario,fighting,steel,Aura Pokémon,88.14,11.86,1.2,54,45,6400,70,110,70,115,70,90,525,Steadfast,Inner Focus,,Justified,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1,0,0,0,Riolu,Level Up with Happiness Value at 220 During the Day,Lucario,,,,,Lucario,TRUE,,Mega Lucario,,"It controls waves known as auras, which are powerful enough to pulverize huge rocks. It uses these waves to take down its prey."
449,4,IV,Hippopotas,Hippopotas,ground,,Hippo Pokémon,50.2,49.8,0.8,49.5,140,7680,68,72,78,38,42,32,330,Sand Stream,,,Sand Force,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Hippopotas,Level ,Hippowdon,,,,,Hippowdon,FALSE,,,,"It moves through the sands with its mouth open, swallowing sand along with its prey. It gets rid of the sand by spouting it from its nose."
450,4,IV,Hippowdon,Kabaldon,ground,,Heavyweight Pokémon,50.2,49.8,2,300,60,7680,108,112,118,68,72,47,525,Sand Stream,,,Sand Force,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Hippopotas,Level ,Hippowdon,,,,,Hippowdon,TRUE,,,,"Stones can get stuck in the ports on their bodies. Dwebble help dislodge such stones, so Hippowdon look after these Pokémon."
451,4,IV,Skorupi,Scorupi,poison,bug,Scorpion Pokémon,50.2,49.8,0.8,12,120,5120,40,50,90,30,55,65,330,Battle Armor,Sniper,,Keen Eye,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Skorupi,Level ,Drapion,,,,,Drapion,FALSE,,,,"After burrowing into the sand, it waits patiently for prey to come near. This Pokémon and Sizzlipede share common descent."
452,4,IV,Drapion,Dorapion,poison,dark,Ogre Scorp Pokémon,50.2,49.8,1.3,61.5,45,5120,70,90,110,60,75,95,500,Battle Armor,Sniper,,Keen Eye,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,0,0,0,Skorupi,Level ,Drapion,,,,,Drapion,TRUE,,,,"Its poison is potent, but it rarely sees use. This Pokémon prefers to use physical force instead, going on rampages with its car-crushing strength."
453,4,IV,Croagunk,Gureggru,poison,fighting,Toxic Mouth Pokémon,50.2,49.8,0.7,23,140,2560,48,61,40,61,40,50,300,Anticipation,Dry Skin,,Poison Touch,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,0,0,0,Croagunk,Level ,Toxicroak,,,,,Toxicroak,FALSE,,,,"It makes frightening noises with its poison-filled cheek sacs. When opponents flinch, Croagunk hits them with a poison jab."
454,4,IV,Toxicroak,Dokurog,poison,fighting,Toxic Mouth Pokémon,50.2,49.8,1.3,44.4,75,5120,83,106,65,86,65,85,490,Anticipation,Dry Skin,,Poison Touch,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,0,0,0,Croagunk,Level ,Toxicroak,,,,,Toxicroak,TRUE,,,,It bounces toward opponents and gouges them with poisonous claws. No more than a scratch is needed to knock out its adversaries.
455,4,IV,Carnivine,Muskippa,grass,,Bug Catcher Pokémon,50,50,1.4,27,200,6400,74,100,72,90,72,46,454,Levitate,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Carnivine,,,,,,,Carnivine,TRUE,,,,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey."
456,4,IV,Finneon,Keikouo,water,,Wing Fish Pokémon,50,50,0.4,7,190,5120,49,49,56,49,61,66,330,Swift Swim,Storm Drain,,Water Veil,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Finneon,Level ,Lumineon,,,,,Lumineon,FALSE,,,,"When night falls, their pink patterns begin to shine. They’re popular with divers, so there are resorts that feed them to keep them close."
457,4,IV,Lumineon,Neolant,water,,Neon Pokémon,50,50,1.2,24,75,5120,69,69,76,69,86,91,460,Swift Swim,Storm Drain,,Water Veil,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Finneon,Level ,Lumineon,,,,,Lumineon,TRUE,,,,"Deep down at the bottom of the ocean, prey is scarce. Lumineon get into fierce disputes with Lanturn over food."
458,4,IV,Mantyke,Tamanta,water,flying,Kite Pokémon,50.2,49.8,1,65,25,6400,45,20,50,60,120,50,345,Swift Swim,Water Absorb,,Water Veil,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,0,0,0,Mantyke,Level up with Remoraid in the party,Mantine,,,,,Mantine,FALSE,,,,Mantyke living in Galar seem to be somewhat sluggish. The colder waters of the seas in this region may be the cause.
459,4,IV,Snover,Yukikaburi,grass,ice,Frosted Tree Pokémon,50.2,49.8,1,50.5,120,5120,60,62,50,62,60,40,334,Snow Warning,,,Soundproof,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1,0,0,0,Snover,Level ,Abomasnow,,,,,Abomasnow,FALSE,,,,It lives on snowy mountains. It sinks its legs into the snow to absorb water and keep its own temperature down.
460,4,IV,Abomasnow,Yukinooh,grass,ice,Frosted Tree Pokémon,50.2,49.8,2.2,135.5,60,5120,90,92,75,92,85,60,494,Snow Warning,,,Soundproof,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1,0,0,0,Snover,Level ,Abomasnow,,,,,Abomasnow,TRUE,,Mega Abomasnow,,"If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers."
461,4,IV,Weavile,Manyula,dark,ice,Sharp Claw Pokémon,50.2,49.8,1.1,34,45,5120,70,120,65,45,85,125,510,Pressure,,,Pickpocket,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0,0,0,Sneasel,Level up during the night while holding  Razor Claw,Weavile,,,,,Weavile,TRUE,,,,They attack their quarry in packs. Prey as large as Mamoswine easily fall to the teamwork of a group of Weavile.
462,4,IV,Magnezone,Jibacoil,electric,steel,Magnet Area Pokémon,,,1.2,180,30,5120,70,70,115,130,90,60,535,Magnet Pull,Sturdy,,Analytic,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,0,0,0,Magnemite,Level ,Magneton,Use Thunder Stone,Magnezone,,,Magnezone,TRUE,,,,Some say that Magnezone receives signals from space via the antenna on its head and that it’s being controlled by some mysterious being.
463,4,IV,Lickilicky,Berobelt,normal,,Licking Pokémon,50.2,49.8,1.7,140,30,5120,110,85,95,80,95,50,515,Own Tempo,Oblivious,,Cloud Nine,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Lickitung,Level up while knowing  Rollout,Lickilicky,,,,,Lickilicky,TRUE,,,,Lickilicky’s strange tongue can stretch to many times the length of its body. No one has figured out how Lickilicky’s tongue can stretch so far.
464,4,IV,Rhyperior,Dosidon,ground,rock,Drill Pokémon,50.2,49.8,2.4,282.8,30,5120,115,140,130,55,55,40,535,Lightning Rod,Solid Rock,,Reckless,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0,0,0,Rhyhorn,Level ,Rhydon,Trade with  Protector,Rhyperior,,,Rhyperior,TRUE,,,,It can load up to three projectiles per arm into the holes in its hands. What launches out of those holes could be either rocks or Roggenrola.
465,4,IV,Tangrowth,Mojumbo,grass,,Vine Pokémon,50.2,49.8,2,128.6,30,5120,100,100,125,110,50,50,535,Chlorophyll,Leaf Guard,,Regenerator,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Tangela,Level up while knowing  Ancient Power,Tangrowth,,,,,Tangrowth,TRUE,,,,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines."
466,4,IV,Electivire,Elekible,electric,,Thunderbolt Pokémon,75.49,24.51,1.8,138.6,30,6400,75,123,67,95,85,95,540,Motor Drive,,,Vital Spirit,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Elekid,Level ,Electabuzz,Trade with  Electirizer,Electivire,,,Electivire,TRUE,,,,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.
467,4,IV,Magmortar,Booburn,fire,,Blast Pokémon,75.49,24.51,1.6,68,30,6400,75,95,67,125,95,83,540,Flame Body,,,Vital Spirit,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Magby,Level ,Magmar,Trade with  Magmarizer,Magmortar,,,Magmortar,TRUE,,,,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit."
468,4,IV,Togekiss,Togekiss,fairy,flying,Jubilee Pokémon,88.14,11.86,1.5,38,30,2560,85,50,95,120,115,80,545,Hustle,Serene Grace,,Super Luck,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1,0,0,0,Togepi,Level Up with Happiness Value at 220,Togetic,Use Shiny Stone,Togekiss,,,Togekiss,TRUE,,,,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all."
469,4,IV,Yanmega,Megayanma,bug,flying,Ogre Darner Pokémon,50,50,1.9,51.5,30,5120,86,76,86,116,56,95,515,Speed Boost,Tinted Lens,,Frisk,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Yanma,Level up while knowing  Ancient Power,Yanmega,,,,,Yanmega,TRUE,,,,It prefers to battle by biting apart foes’ heads instantly while flying by at high speed.
470,4,IV,Leafeon,Leafia,grass,,Verdant Pokémon,88.14,11.86,1,25.5,45,8960,65,110,130,60,65,95,525,Leaf Guard,,,Chlorophyll,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Eevee,,,,,,,Eevee,FALSE,,,,Galarians favor the distinctive aroma that drifts from this Pokémon’s leaves. There’s a popular perfume made using that scent.
471,4,IV,Glaceon,Glacia,ice,,Fresh Snow Pokémon,88.14,11.86,0.8,25.9,45,8960,65,60,110,130,95,65,525,Snow Cloak,,,Ice Body,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,0,0,0,Eevee,,,,,,,Eevee,FALSE,,,,Any who become captivated by the beauty of the snowfall that Glaceon creates will be frozen before they know it.
472,4,IV,Gliscor,Glion,ground,flying,Fang Scorp Pokémon,50,50,2,42.5,30,5120,75,95,125,45,75,95,510,Hyper Cutter,Sand Veil,,Poison Heal,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,0,0,0,Gligar,Level up during the night while holding  Razor Fang,Gliscor,,,,,Gliscor,TRUE,,,,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!"
473,4,IV,Mamoswine,Mammoo,ice,ground,Twin Tusk Pokémon,50.2,49.8,2.5,291,50,5120,110,130,80,70,60,80,530,Oblivious,Snow Cloak,,Thick Fat,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,,,,Level up while knowing  Ancient Power,FALSE,,,,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct."
474,4,IV,Porygon-Z,Porygon-z,normal,,Virtual Pokémon,,,0.9,34,30,5120,85,80,70,135,75,90,535,Adaptability,Download,,Analytic,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Porygon,Trade with  Upgrade,Porygon2,Trade with  Dubious Disc,Porygon-Z,,,Porygon-Z,TRUE,,,,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior."
475,4,IV,Gallade,Erureido,psychic,fighting,Blade Pokémon,100,0,1.6,52,45,5120,68,125,65,65,115,80,518,Steadfast,,,Justified,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,0,0,0,Ralts,Level,Kirlia,"On Male Pokémon, use Dawn Stone",Gallade,,,Gallade,TRUE,,Mega Gallade,,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone."
476,4,IV,Probopass,Dainose,rock,steel,Compass Pokémon,50,50,1.4,340,60,5120,60,55,145,75,150,40,525,Sturdy,Magnet Pull,,Sand Force,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,0,0,0,Nosepass,Level up while at Blush Mountain/Vast Poni Canyon,Probopass,,,,,Probopass,TRUE,,,,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back."
477,4,IV,Dusknoir,Yonoir,ghost,,Gripper Pokémon,50.2,49.8,2.2,106.6,45,6400,45,100,135,65,135,45,525,Pressure,,,Frisk,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Duskull,Level ,Dusclops,Trade with  Reaper Cloth,Dusknoir,,,Dusknoir,TRUE,,,,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own."
478,4,IV,Froslass,Yukimenoko,ice,ghost,Snow Land Pokémon,0,100,1.3,26.6,75,5120,70,80,70,80,70,110,480,Snow Cloak,,,Cursed Body,0,2,1,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,1,0,0,0,Snorunt,Level,Glalie,"On Female Pokémon, use Dawn Stone",Froslass,,,Froslass,TRUE,,,,"After a woman met her end on a snowy mountain, her regrets lingered on. From them, this Pokémon was born. Its favorite food is frozen souls."
479,4,IV,Rotom,Rotom,electric,ghost,Plasma Pokémon,,,0.3,0.3,45,5120,50,50,77,95,77,91,440,Levitate,,,,0,1,1,0.5,1,1,0,0.5,2,0.5,1,0.5,1,2,1,2,0.5,1,0,0,0,Rotom,,,,,,,Rotom,TRUE,,,,One boy’s invention led to the development of many different machines that take advantage of Rotom’s unique capabilities.
480,4,IV,Uxie,Yuxie,psychic,,Knowledge Pokémon,,,0.3,0.3,3,20480,75,75,130,75,130,95,580,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,0,0,Uxie,,,,,,,Uxie,TRUE,,,,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.
481,4,IV,Mesprit,Emrit,psychic,,Emotion Pokémon,,,0.3,0.3,3,20480,80,105,105,105,105,80,580,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,0,0,Mesprit,,,,,,,Mesprit,TRUE,,,,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
482,4,IV,Azelf,Agnome,psychic,,Willpower Pokémon,,,0.3,0.3,3,20480,75,125,70,125,70,115,580,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,0,0,Azelf,,,,,,,Azelf,TRUE,,,,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.
483,4,IV,Dialga,Dialga,steel,dragon,Temporal Pokémon,,,5.4,683,3,30720,100,120,120,150,100,90,680,Pressure,,,Telepathy,0.5,1,0.5,0.5,0.25,1,2,0,2,0.5,0.5,0.5,0.5,1,1,1,0.5,1,0,1,0,Dialga,,,,,,,Dialga,TRUE,,,,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.
484,4,IV,Palkia,Palkia,water,dragon,Spatial Pokémon,,,4.2,336,3,30720,90,120,100,150,120,100,680,Pressure,,,Telepathy,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,0,1,0,Palkia,,,,,,,Palkia,TRUE,,,,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.
